2pt_drivinglayup,2pt_dunk,2pt_fadeaway,2pt_floatingjumpshot,2pt_hookshot,2pt_jumpshot,2pt_layup,2pt_pullupjumpshot,2pt_stepbackjumpshot,2pt_turnaroundjumpshot,3pt_jumpshot,3pt_pullupjumpshot,3pt_stepbackjumpshot,assist_,block_,foul_offensive,foul_personal,foulon_,freethrow_1of1,freethrow_1of2,freethrow_2of2,jumpball_lost,jumpball_won,rebound_defensive,rebound_offensive,rebound_offensivedeadball,steal_,timeout_full,turnover_badpass,turnover_ballhandling,turnover_offensive,turnover_outofbounds
2,0,0,0,0,2,3,2,0,0,7,2,0,3,0,2,5,3,0,1,1,0,1,7,4,0,4,0,0,1,2,0
3,0,0,0,2,1,1,1,0,0,3,1,1,1,0,0,1,3,0,1,1,0,0,4,4,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,2,0,0,3,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,1,1,0,1,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,3,1,0,0,5,1,0,0,1,0,4,5,0,2,2,0,0,5,4,2,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,1,0,0,6,2,0,2,4,1,0,5,2,0,3,7,2,0,0,1,0,9,4,0,0,3,2,2,0,0
1,1,0,0,0,0,2,0,0,1,4,0,0,1,0,0,3,1,0,1,1,0,0,6,2,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,0,0,1,2,1,0,1,5,0,0,2,2,1,4,4,1,1,1,0,0,4,4,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
